company_id,company_name,industry_domain,salary,location,tools_and_technologies,role_name,role_category,experience_level
1,TCS,IT Services,4.0,Mumbai,"Java,SQL,DSA",Software Engineer,Development,Entry
2,Infosys,IT Services,3.6,Bangalore,"Python,SQL,DBMS",System Engineer,Development,Entry
3,Wipro,IT Services,4.0,Hyderabad,"JavaScript,React,Node",Frontend Developer,Development,Entry
4,HCL,IT Services,4.2,Noida,"Java,Spring,MySQL",Backend Developer,Development,Entry
5,Accenture,Consulting,6.0,Bangalore,"Python,ML,SQL",Data Analyst,Analytics,Mid
6,Capgemini,IT Services,4.0,Pune,"Java,Selenium,Testing",QA Engineer,Development,Entry
7,Cognizant,IT Services,4.0,Chennai,"Python,SQL,Excel",Data Analyst,Analytics,Entry
8,IBM,Tech,8.0,Bangalore,"AI,Python,Cloud",ML Engineer,AI,Mid
9,Amazon,Tech,12.0,Hyderabad,"DSA,Java,System Design",SDE,Development,Mid
10,Google,Tech,20.0,Bangalore,"DSA,Algorithms,C++",SWE,Development,Mid
11,Microsoft,Tech,18.0,Hyderabad,"DSA,C#,Azure",Software Engineer,Development,Mid
12,Flipkart,E-commerce,10.0,Bangalore,"Java,Microservices,DSA",Backend Engineer,Development,Mid
13,Paytm,Fintech,8.0,Noida,"Node.js,MongoDB,APIs",Full Stack Developer,Development,Mid
14,Zomato,FoodTech,7.0,Gurgaon,"Python,Django,SQL",Backend Developer,Development,Entry
15,Swiggy,FoodTech,9.0,Bangalore,"Java,Spring Boot,Redis",Backend Engineer,Development,Mid
16,Byjus,EdTech,6.0,Bangalore,"React,JavaScript,UI",Frontend Developer,Development,Entry
17,Unacademy,EdTech,7.0,Bangalore,"Node.js,React,Firebase",Full Stack Developer,Development,Mid
18,Meesho,E-commerce,8.0,Bangalore,"Python,SQL,Analytics",Data Analyst,Analytics,Mid
19,Ola,Transport,9.0,Bangalore,"Java,Kotlin,Android",App Developer,Development,Mid
20,Uber,Transport,15.0,Bangalore,"DSA,System Design,Java",SDE,Development,Mid
21,Adobe,Tech,12.0,Noida,"React,JavaScript,UI",Frontend Engineer,Development,Mid
22,Oracle,Tech,10.0,Bangalore,"Java,SQL,Cloud",Backend Developer,Development,Mid
23,SAP,Tech,9.0,Bangalore,"ABAP,SQL,SAP HANA",SAP Developer,Development,Mid
24,Deloitte,Consulting,6.0,Hyderabad,"SQL,Excel,PowerBI",Business Analyst,Analytics,Mid
25,KPMG,Consulting,6.0,Gurgaon,"SQL,Python,Analytics",Data Analyst,Analytics,Mid
26,PwC,Consulting,5.0,Kolkata,"Excel,SQL,Audit",Analyst,Analytics,Entry
27,TechMahindra,IT Services,4.0,Pune,"Java,Networking,Linux",Support Engineer,Development,Entry
28,LTI,IT Services,6.0,Mumbai,"Python,ML,Data Science",Data Scientist,AI,Mid
29,Zoho,Tech,7.0,Chennai,"Java,DSA,Web Dev",Software Developer,Development,Mid
30,Razorpay,Fintech,10.0,Bangalore,"Node.js,APIs,Payments",Backend Developer,Development,Mid
31,Freshworks,Tech,9.0,Chennai,"React,JavaScript,UI",Frontend Engineer,Development,Mid
32,Cred,Fintech,12.0,Bangalore,"Java,Microservices,Cloud",Backend Engineer,Development,Mid
33,PhonePe,Fintech,11.0,Bangalore,"Java,Spring,Kafka",Backend Engineer,Development,Mid
34,Nykaa,E-commerce,8.0,Mumbai,"React,JavaScript,UX",Frontend Developer,Development,Mid
35,BookMyShow,Entertainment,7.0,Mumbai,"Node.js,React,MongoDB",Full Stack Dev,Development,Mid
36,RedBus,Transport,8.0,Bangalore,"Java,Spring Boot,SQL",Backend Developer,Development,Mid
37,MakeMyTrip,Travel,9.0,Gurgaon,"Java,APIs,Microservices",Backend Engineer,Development,Mid
38,Cleartrip,Travel,8.0,Bangalore,"Python,Django,SQL",Backend Developer,Development,Mid
39,PolicyBazaar,Fintech,7.0,Gurgaon,"React,Node,MongoDB",Full Stack Dev,Development,Mid
40,UpGrad,EdTech,7.0,Bangalore,"Python,ML,Analytics",Data Scientist,AI,Mid
41,Scaler,EdTech,8.0,Bangalore,"DSA,Java,Teaching",Instructor,Development,Mid
42,Meta,Tech,20.0,Bangalore,"React,JavaScript,System Design",Frontend Engineer,Development,Mid
