company_id,company_name,industry_domain,salary,location,tools_and_technologies,role_name,role_category,experience_level
1,TCS,IT Services,4,Mumbai,"Java,SQL,DSA",Software Engineer,Development,Entry
2,Infosys,IT Services,3.6,Bangalore,"Python,SQL,DBMS",System Engineer,Development,Entry
3,Wipro,IT Services,4,Hyderabad,"JavaScript,React,Node",Frontend Developer,Development,Entry
4,HCL,IT Services,4.2,Noida,"Java,Spring,MySQL",Backend Developer,Development,Entry
5,Accenture,Consulting,6,Bangalore,"Python,ML,SQL",Data Analyst,Analytics,Mid
6,Capgemini,IT Services,4,Pune,"Java,Selenium,Testing",QA Engineer,Development,Entry
7,Cognizant,IT Services,4,Chennai,"Python,SQL,Excel",Data Analyst,Analytics,Entry
8,IBM,Tech,8,Bangalore,"AI,Python,Cloud",ML Engineer,AI,Mid
9,Amazon,Tech,12,Hyderabad,"DSA,Java,System Design",SDE,Development,Mid
10,Google,Tech,20,Bangalore,"DSA,Algorithms,C++",SWE,Development,Mid
11,Microsoft,Tech,18,Hyderabad,"DSA,C#,Azure",Software Engineer,Development,Mid
12,Flipkart,E-commerce,10,Bangalore,"Java,Microservices,DSA",Backend Engineer,Development,Mid
13,Paytm,Fintech,8,Noida,"Node.js,MongoDB,APIs",Full Stack Developer,Development,Mid
14,Zomato,FoodTech,7,Gurgaon,"Python,Django,SQL",Backend Developer,Development,Entry
15,Swiggy,FoodTech,9,Bangalore,"Java,Spring Boot,Redis",Backend Engineer,Development,Mid
16,Byjus,EdTech,6,Bangalore,"React,JavaScript,UI",Frontend Developer,Development,Entry
17,Unacademy,EdTech,7,Bangalore,"Node.js,React,Firebase",Full Stack Developer,Development,Mid
18,Meesho,E-commerce,8,Bangalore,"Python,SQL,Analytics",Data Analyst,Analytics,Mid
19,Ola,Transport,9,Bangalore,"Java,Kotlin,Android",App Developer,Development,Mid
20,Uber,Transport,15,Bangalore,"DSA,System Design,Java",SDE,Development,Mid
21,Adobe,Tech,12,Noida,"React,JavaScript,UI",Frontend Engineer,Development,Mid
22,Oracle,Tech,10,Bangalore,"Java,SQL,Cloud",Backend Developer,Development,Mid
23,SAP,Tech,9,Bangalore,"ABAP,SQL,SAP HANA",SAP Developer,Development,Mid
24,Deloitte,Consulting,6,Hyderabad,"SQL,Excel,PowerBI",Business Analyst,Analytics,Mid
25,KPMG,Consulting,6,Gurgaon,"SQL,Python,Analytics",Data Analyst,Analytics,Mid
26,PwC,Consulting,5,Kolkata,"Excel,SQL,Audit",Analyst,Analytics,Entry
27,TechMahindra,IT Services,4,Pune,"Java,Networking,Linux",Support Engineer,Development,Entry
28,LTI,IT Services,6,Mumbai,"Python,ML,Data Science",Data Scientist,AI,Mid
29,Zoho,Tech,7,Chennai,"Java,DSA,Web Dev",Software Developer,Development,Mid
30,Razorpay,Fintech,10,Bangalore,"Node.js,APIs,Payments",Backend Developer,Development,Mid
31,Freshworks,Tech,9,Chennai,"React,JavaScript,UI",Frontend Engineer,Development,Mid
32,Cred,Fintech,12,Bangalore,"Java,Microservices,Cloud",Backend Engineer,Development,Mid
33,PhonePe,Fintech,11,Bangalore,"Java,Spring,Kafka",Backend Engineer,Development,Mid
34,Nykaa,E-commerce,8,Mumbai,"React,JavaScript,UX",Frontend Developer,Development,Mid
35,BookMyShow,Entertainment,7,Mumbai,"Node.js,React,MongoDB",Full Stack Dev,Development,Mid
36,RedBus,Transport,8,Bangalore,"Java,Spring Boot,SQL",Backend Developer,Development,Mid
37,MakeMyTrip,Travel,9,Gurgaon,"Java,APIs,Microservices",Backend Engineer,Development,Mid
38,Cleartrip,Travel,8,Bangalore,"Python,Django,SQL",Backend Developer,Development,Mid
39,PolicyBazaar,Fintech,7,Gurgaon,"React,Node,MongoDB",Full Stack Dev,Development,Mid
40,UpGrad,EdTech,7,Bangalore,"Python,ML,Analytics",Data Scientist,AI,Mid
41,Scaler,EdTech,8,Bangalore,"DSA,Java,Teaching",Instructor,Development,Mid
42,Meta,Tech,20,Bangalore,"React,JavaScript,System Design",Frontend Engineer,Development,Mid
43,Netflix,Tech,25,Remote,"Python,Cloud,Data",Data Engineer,AI,Mid
44,Tesla,Automobile,18,Bangalore,"AI,Embedded,C++",AI Engineer,AI,Mid
45,Intel,Hardware,14,Bangalore,"C++,Embedded,OS",Embedded Engineer,Development,Mid
46,Nvidia,Tech,20,Bangalore,"CUDA,C++,AI",AI Engineer,AI,Mid
47,Qualcomm,Tech,15,Hyderabad,"C++,DSP,Embedded",Embedded Engineer,Development,Mid
48,GoldmanSachs,Finance,18,Bangalore,"Java,DSA,Finance",Software Engineer,Development,Mid
49,JPMorgan,Finance,17,Mumbai,"Java,SQL,Spring",Backend Engineer,Development,Mid
50,MorganStanley,Finance,16,Mumbai,"Python,SQL,Analytics",Data Analyst,Analytics,Mid
51,HSBC,Finance,10,Pune,"SQL,Excel,Banking",Analyst,Analytics,Entry
52,CitiBank,Finance,12,Mumbai,"Java,SQL,Banking",Software Engineer,Development,Mid
53,Barclays,Finance,13,Pune,"Python,ML,Analytics",Data Scientist,AI,Mid
54,AmericanExpress,Finance,14,Gurgaon,"Python,SQL,Analytics",Data Analyst,Analytics,Mid
55,Mastercard,Fintech,15,Pune,"Java,Spring,Cloud",Backend Engineer,Development,Mid
56,Visa,Fintech,16,Bangalore,"Java,Microservices,Cloud",Backend Engineer,Development,Mid
57,PayPal,Fintech,14,Chennai,"Java,APIs,Security",Backend Engineer,Development,Mid
58,Stripe,Fintech,20,Remote,"Ruby,APIs,Payments",Backend Developer,Development,Mid
59,Atlassian,Tech,18,Bangalore,"Java,Cloud,Agile",Software Engineer,Development,Mid
60,Slack,Tech,17,Remote,"React,Node,Realtime",Full Stack Dev,Development,Mid
61,Dropbox,Tech,19,Remote,"Python,Cloud,Storage",Backend Engineer,Development,Mid
62,Airbnb,Tech,21,Remote,"React,Node,System Design",Full Stack Dev,Development,Mid
63,Spotify,Tech,20,Remote,"Python,Data,ML",Data Engineer,AI,Mid
64,Twilio,Tech,18,Remote,"APIs,Node,Cloud",Backend Developer,Development,Mid
65,Square,Fintech,19,Remote,"Java,Payments,Cloud",Backend Engineer,Development,Mid
